Date,Region,Class,Commodity,Variety,Organic,Environment,Unit,Number of Stores,Weighted Avg Price,Low Price,High Price,% Marked Local,"Last Year
 Stores","Last Year
 Weighted Avg Price"
10/12/2018,SOUTH CENTRAL U.S.,VEGETABLES,PUMPKINS,MINIATURE,,,each,47,0.5,0.5,0.5,,,
10/12/2018,SOUTH CENTRAL U.S.,VEGETABLES,PUMPKINS,PIE TYPE,,,each,56,2,2,2,,56,2
10/12/2018,SOUTH CENTRAL U.S.,VEGETABLES,PUMPKINS,PIE TYPE,,,per pound,9,0.69,0.69,0.69,,29,0.69
10/12/2018,SOUTHWEST U.S.,VEGETABLES,PUMPKINS,,,,each,362,5.22,2.99,5.99,72,749,4.07
10/12/2018,SOUTHWEST U.S.,VEGETABLES,PUMPKINS,,,,per pound,141,0.34,0.1,0.79,,119,0.23
10/12/2018,SOUTHWEST U.S.,VEGETABLES,PUMPKINS,MINIATURE,,,each,15,1.19,1.19,1.19,,162,1.01
10/12/2018,SOUTHWEST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,,,each,41,2,2,2,,40,2
10/12/2018,SOUTHWEST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,,,per pound,28,0.79,0.79,0.79,,5,0.99
10/12/2018,SOUTHWEST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,Y,,per pound,24,1.75,1.69,1.79,,24,1.8
10/12/2018,NORTHWEST U.S.,VEGETABLES,PUMPKINS,,,,each,329,5,5,5,,226,3.91
10/12/2018,NORTHWEST U.S.,VEGETABLES,PUMPKINS,,,,per pound,59,0.26,0.19,0.39,,348,0.33
10/12/2018,NORTHWEST U.S.,VEGETABLES,PUMPKINS,MINIATURE,,,each,28,1.19,1.19,1.19,,32,1.14
10/12/2018,NORTHWEST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,Y,,per pound,34,1.71,1.29,1.79,,28,1.99
10/12/2018,ALASKA,VEGETABLES,PUMPKINS,,,,per pound,42,0.73,0.39,0.79,,28,0.58
10/12/2018,HAWAII,VEGETABLES,PUMPKINS,,,,per pound,79,0.83,0.79,0.89,44,26,0.78
10/19/2018,NATIONAL,VEGETABLES,PUMPKINS,,,,each,"3,775",3.67,,,,"7,179",3.89
10/19/2018,NATIONAL,VEGETABLES,PUMPKINS,,,,per pound,577,0.53,,,,886,0.33
10/19/2018,NATIONAL,VEGETABLES,PUMPKINS,MINIATURE,,,each,"2,656",1.11,,,,"2,199",1.19
10/19/2018,NATIONAL,VEGETABLES,PUMPKINS,MINIATURE,,,per pound,327,1.38,,,,238,1.29
10/19/2018,NATIONAL,VEGETABLES,PUMPKINS,PIE TYPE,,,each,694,2.64,,,,723,2.42
10/19/2018,NATIONAL,VEGETABLES,PUMPKINS,PIE TYPE,,,per pound,197,0.87,,,,"1,441",0.96
10/19/2018,NATIONAL,VEGETABLES,PUMPKINS,PIE TYPE,Y,,each,4,2.5,,,,,
10/19/2018,NATIONAL,VEGETABLES,PUMPKINS,PIE TYPE,Y,,per pound,125,1.03,,,,242,1.01
10/19/2018,NORTHEAST U.S.,VEGETABLES,PUMPKINS,,,,each,804,4.06,2.49,7.99,1,705,3.83
10/19/2018,NORTHEAST U.S.,VEGETABLES,PUMPKINS,,,,per pound,16,0.79,0.79,0.79,,14,0.51
10/19/2018,NORTHEAST U.S.,VEGETABLES,PUMPKINS,MINIATURE,,,each,572,0.97,0.69,1,,285,0.98
10/19/2018,NORTHEAST U.S.,VEGETABLES,PUMPKINS,MINIATURE,,,per pound,327,1.38,1.29,1.69,,238,1.29
10/19/2018,NORTHEAST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,,,each,101,2.5,2.5,2.5,,281,2.07
10/19/2018,NORTHEAST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,,,per pound,55,0.75,0.39,0.79,,60,0.79
10/19/2018,SOUTHEAST U.S.,VEGETABLES,PUMPKINS,,,,each,"1,033",3.95,2.49,5,1,"2,371",4.18
10/19/2018,SOUTHEAST U.S.,VEGETABLES,PUMPKINS,,,,per pound,200,0.88,0.88,0.88,,,
10/19/2018,SOUTHEAST U.S.,VEGETABLES,PUMPKINS,MINIATURE,,,each,"2,020",1.15,0.8,1.99,,"1,577",1.27
10/19/2018,SOUTHEAST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,,,each,285,2.61,2.5,2.99,,224,2.52
10/19/2018,SOUTHEAST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,,,per pound,94,0.99,0.98,0.99,,"1,330",0.97
10/19/2018,MIDWEST U.S.,VEGETABLES,PUMPKINS,,,,each,821,2.68,1.99,4.99,5,"1,355",3.29
10/19/2018,MIDWEST U.S.,VEGETABLES,PUMPKINS,MINIATURE,,,each,15,0.99,0.99,0.99,,217,0.76
10/19/2018,MIDWEST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,,,each,218,2.77,1.5,2.99,,218,2.77
10/19/2018,MIDWEST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,,,per pound,24,0.7,0.59,0.98,71,12,0.79
10/19/2018,SOUTH CENTRAL U.S.,VEGETABLES,PUMPKINS,,,,each,610,3.55,2.49,5,,"1,554",3.79
10/19/2018,SOUTH CENTRAL U.S.,VEGETABLES,PUMPKINS,,,,per pound,24,0.79,0.79,0.79,,32,0.28
10/19/2018,SOUTH CENTRAL U.S.,VEGETABLES,PUMPKINS,MINIATURE,,,each,49,0.99,0.99,0.99,,110,1.44
10/19/2018,SOUTH CENTRAL U.S.,VEGETABLES,PUMPKINS,PIE TYPE,,,each,49,2.99,2.99,2.99,,,
10/19/2018,SOUTH CENTRAL U.S.,VEGETABLES,PUMPKINS,PIE TYPE,,,per pound,24,0.87,0.59,0.98,,10,0.69
10/19/2018,SOUTH CENTRAL U.S.,VEGETABLES,PUMPKINS,PIE TYPE,Y,,per pound,6,1.48,1.48,1.48,,,
10/19/2018,SOUTHWEST U.S.,VEGETABLES,PUMPKINS,,,,each,263,3.56,2.49,4.99,43,"1,118",4.19
10/19/2018,SOUTHWEST U.S.,VEGETABLES,PUMPKINS,,,,per pound,185,0.28,0.19,0.34,,390,0.29
10/19/2018,SOUTHWEST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,,,each,41,2,2,2,,,
10/19/2018,SOUTHWEST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,Y,,each,4,2.5,2.5,2.5,,,
10/19/2018,SOUTHWEST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,Y,,per pound,113,0.99,0.99,0.99,100,18,1.24
10/19/2018,NORTHWEST U.S.,VEGETABLES,PUMPKINS,,,,each,223,4.93,4,5,,76,4.29
10/19/2018,NORTHWEST U.S.,VEGETABLES,PUMPKINS,,,,per pound,137,0.26,0.19,0.39,7,366,0.28
10/19/2018,NORTHWEST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,Y,,per pound,6,1.35,1.29,1.48,,224,0.99
10/19/2018,HAWAII,VEGETABLES,PUMPKINS,,,,each,21,4,4,4,,,
10/19/2018,ALASKA,VEGETABLES,PUMPKINS,,,,per pound,11,0.5,0.48,0.59,,49,0.64
10/19/2018,HAWAII,VEGETABLES,PUMPKINS,,,,per pound,4,0.79,0.79,0.79,,35,0.89
10/26/2018,NATIONAL,VEGETABLES,PUMPKINS,,,,each,"2,869",4.47,,,,"1,891",4.25
10/26/2018,NATIONAL,VEGETABLES,PUMPKINS,,,,per pound,233,0.32,,,,378,0.58
10/26/2018,NATIONAL,VEGETABLES,PUMPKINS,MINIATURE,,,each,"1,455",1.16,,,,245,1.3
10/26/2018,NATIONAL,VEGETABLES,PUMPKINS,MINIATURE,,,per pound,3,1.29,,,,,
10/26/2018,NATIONAL,VEGETABLES,PUMPKINS,PIE TYPE,,,each,490,2.32,,,,537,2.09
10/26/2018,NATIONAL,VEGETABLES,PUMPKINS,PIE TYPE,,,per pound,332,0.9,,,,209,0.88
10/26/2018,NATIONAL,VEGETABLES,PUMPKINS,PIE TYPE,Y,,each,4,2.5,,,,11,3
10/26/2018,NATIONAL,VEGETABLES,PUMPKINS,PIE TYPE,Y,,per pound,38,1.04,,,,27,0.99
10/26/2018,NORTHEAST U.S.,VEGETABLES,PUMPKINS,,,,each,377,5.87,4,6.99,19,189,5.52
10/26/2018,NORTHEAST U.S.,VEGETABLES,PUMPKINS,,,,per pound,2,0.59,0.59,0.59,,7,0.69
10/26/2018,NORTHEAST U.S.,VEGETABLES,PUMPKINS,MINIATURE,,,each,22,0.8,0.8,0.8,,123,1.61
10/26/2018,NORTHEAST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,,,each,182,2.5,2.5,2.5,,154,2.06
10/26/2018,NORTHEAST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,,,per pound,55,0.99,0.99,0.99,,6,0.79
10/26/2018,SOUTHEAST U.S.,VEGETABLES,PUMPKINS,,,,each,787,4.78,3.34,5,,389,4.97
10/26/2018,SOUTHEAST U.S.,VEGETABLES,PUMPKINS,MINIATURE,,,each,"1,433",1.17,0.8,1.25,,,
10/26/2018,SOUTHEAST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,,,each,220,2.5,2.5,2.5,,231,2.46
10/26/2018,SOUTHEAST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,,,per pound,242,0.89,0.78,1.49,,203,0.88
10/26/2018,MIDWEST U.S.,VEGETABLES,PUMPKINS,,,,each,553,3.94,2.99,5.99,3,140,3.35
10/26/2018,MIDWEST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,,,each,83,1.5,1.49,1.5,,7,2.5
10/26/2018,MIDWEST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,Y,,per pound,6,0.99,0.99,0.99,,,
10/26/2018,SOUTH CENTRAL U.S.,VEGETABLES,PUMPKINS,,,,each,571,3.75,1.99,4.99,,738,4.07
10/26/2018,SOUTH CENTRAL U.S.,VEGETABLES,PUMPKINS,PIE TYPE,,,each,5,1.5,1.5,1.5,,,
10/26/2018,SOUTH CENTRAL U.S.,VEGETABLES,PUMPKINS,PIE TYPE,,,per pound,17,0.88,0.88,0.88,,,
10/26/2018,SOUTHWEST U.S.,VEGETABLES,PUMPKINS,,,,each,278,3.85,2.49,4.99,,432,3.66
10/26/2018,SOUTHWEST U.S.,VEGETABLES,PUMPKINS,,,,per pound,101,0.25,0.17,0.29,,118,0.28
10/26/2018,SOUTHWEST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,,,per pound,16,0.77,0.77,0.77,,,
10/26/2018,SOUTHWEST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,Y,,each,4,2.5,2.5,2.5,,,
10/26/2018,SOUTHWEST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,Y,,per pound,9,1.29,1.29,1.29,,9,0.99
10/26/2018,NORTHWEST U.S.,VEGETABLES,PUMPKINS,,,,each,285,4.72,4,5,22,3,3.99
10/26/2018,NORTHWEST U.S.,VEGETABLES,PUMPKINS,,,,per pound,98,0.26,0.19,0.29,18,104,0.21
10/26/2018,NORTHWEST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,,,per pound,2,0.98,0.98,0.98,,,
10/26/2018,NORTHWEST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,Y,,per pound,23,0.95,0.88,1.29,,18,0.99
10/26/2018,ALASKA,VEGETABLES,PUMPKINS,,,,each,18,5.68,0.49,8.99,,,
10/26/2018,HAWAII,VEGETABLES,PUMPKINS,,,,per pound,32,0.69,0.69,0.69,,41,0.79
10/26/2018,HAWAII,VEGETABLES,PUMPKINS,MINIATURE,,,per pound,3,1.29,1.29,1.29,,,
11/02/2018,NATIONAL,VEGETABLES,PUMPKINS,,,,each,164,4.7,,,,,
11/02/2018,NATIONAL,VEGETABLES,PUMPKINS,,,,per pound,11,0.71,,,,61,0.99
11/02/2018,NATIONAL,VEGETABLES,PUMPKINS,PIE TYPE,,,each,36,0.68,,,,,
11/02/2018,NATIONAL,VEGETABLES,PUMPKINS,PIE TYPE,,,per pound,"1,342",0.95,,,,209,0.87
11/02/2018,NATIONAL,VEGETABLES,PUMPKINS,PIE TYPE,Y,,per pound,26,1.49,,,,50,1.47
11/02/2018,SOUTHEAST U.S.,VEGETABLES,PUMPKINS,,,,per pound,8,0.79,0.79,0.79,,,
11/02/2018,SOUTHEAST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,,,per pound,"1,335",0.96,0.78,0.99,,203,0.88
11/02/2018,SOUTHEAST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,Y,,per pound,26,1.49,1.49,1.49,,34,1.58
11/02/2018,MIDWEST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,,,each,36,0.68,0.68,0.68,,,
11/02/2018,SOUTH CENTRAL U.S.,VEGETABLES,PUMPKINS,,,,each,43,3.84,3.19,3.99,,,
11/02/2018,SOUTHWEST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,,,per pound,7,0.2,0.2,0.2,,,
11/02/2018,NORTHWEST U.S.,VEGETABLES,PUMPKINS,,,,each,121,5,5,5,,,
11/02/2018,ALASKA,VEGETABLES,PUMPKINS,,,,per pound,3,0.48,0.48,0.48,,,
11/09/2018,NATIONAL,VEGETABLES,PUMPKINS,PIE TYPE,,,per pound,219,0.77,,,,203,0.88
11/09/2018,NATIONAL,VEGETABLES,PUMPKINS,PIE TYPE,Y,,per pound,10,0.99,,,,9,0.99
11/09/2018,SOUTHEAST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,,,per pound,200,0.78,0.78,0.78,,203,0.88
11/09/2018,MIDWEST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,,,per pound,17,0.69,0.69,0.69,100,,
11/09/2018,SOUTHWEST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,Y,,per pound,9,0.99,0.99,0.99,,9,0.99
11/09/2018,NORTHWEST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,,,per pound,2,0.98,0.98,0.98,,,
11/09/2018,NORTHWEST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,Y,,per pound,1,0.99,0.99,0.99,,,
11/16/2018,NATIONAL,VEGETABLES,PUMPKINS,,,,per pound,2,0.69,,,,,
11/16/2018,NATIONAL,VEGETABLES,PUMPKINS,PIE TYPE,,,each,242,2.5,,,,232,2.5
11/16/2018,NATIONAL,VEGETABLES,PUMPKINS,PIE TYPE,,,per pound,7,0.99,,,,203,0.88
11/16/2018,NATIONAL,VEGETABLES,PUMPKINS,PIE TYPE,Y,,per pound,28,1.02,,,,268,0.99
11/16/2018,NORTHEAST U.S.,VEGETABLES,PUMPKINS,,,,per pound,2,0.69,0.69,0.69,,,
11/16/2018,NORTHEAST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,,,each,22,2.5,2.5,2.5,,18,2.5
11/16/2018,SOUTHEAST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,,,each,220,2.5,2.5,2.5,,214,2.5
11/16/2018,SOUTHWEST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,Y,,per pound,9,1.29,1.29,1.29,100,154,0.99
11/16/2018,NORTHWEST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,,,per pound,7,0.99,0.99,0.99,,,
11/16/2018,NORTHWEST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,Y,,per pound,19,0.89,0.89,0.89,,25,0.99
11/23/2018,NATIONAL,VEGETABLES,PUMPKINS,PIE TYPE,,,each,242,2.5,,,,,
11/23/2018,NATIONAL,VEGETABLES,PUMPKINS,PIE TYPE,,,per pound,21,1.12,,,,,
11/23/2018,NATIONAL,VEGETABLES,PUMPKINS,PIE TYPE,Y,,per pound,26,0.92,,,,132,0.99
11/23/2018,NORTHEAST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,,,each,22,2.5,2.5,2.5,,,
11/23/2018,SOUTHEAST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,,,each,220,2.5,2.5,2.5,,,
11/23/2018,SOUTHWEST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,,,per pound,9,1.29,1.29,1.29,100,,
11/23/2018,NORTHWEST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,,,per pound,12,0.99,0.99,0.99,,,
11/23/2018,NORTHWEST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,Y,,per pound,26,0.92,0.89,0.99,27,25,0.99
12/21/2018,NATIONAL,VEGETABLES,PUMPKINS,,,,per pound,38,0.79,,,,,
12/21/2018,NORTHEAST U.S.,VEGETABLES,PUMPKINS,,,,per pound,2,0.78,0.78,0.78,,,
12/21/2018,SOUTHWEST U.S.,VEGETABLES,PUMPKINS,,,,per pound,36,0.79,0.79,0.79,,,
12/28/2018,NATIONAL,VEGETABLES,PUMPKINS,,,,per pound,2,0.78,,,,,
12/28/2018,NORTHEAST U.S.,VEGETABLES,PUMPKINS,,,,per pound,2,0.78,0.78,0.78,,,
01/04/2019,NATIONAL,VEGETABLES,PUMPKINS,PIE TYPE,Y,,per pound,113,0.79,,,,,
01/04/2019,SOUTHWEST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,Y,,per pound,113,0.79,0.79,0.79,,,
01/18/2019,NATIONAL,VEGETABLES,PUMPKINS,,,,per pound,2,0.78,,,,,
01/18/2019,NORTHEAST U.S.,VEGETABLES,PUMPKINS,,,,per pound,2,0.78,0.78,0.78,,,
08/02/2019,NATIONAL,VEGETABLES,PUMPKINS,,,,per pound,46,0.69,,,,46,0.49
08/02/2019,SOUTHEAST U.S.,VEGETABLES,PUMPKINS,,,,per pound,46,0.69,0.69,0.69,,46,0.49
08/30/2019,NATIONAL,VEGETABLES,PUMPKINS,,,,per pound,46,0.79,,,,,
08/30/2019,SOUTHEAST U.S.,VEGETABLES,PUMPKINS,,,,per pound,46,0.79,0.79,0.79,,,
09/06/2019,NATIONAL,VEGETABLES,PUMPKINS,PIE TYPE,,,each,233,1.5,,,,255,2.59
09/06/2019,MIDWEST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,,,each,233,1.5,1.5,1.5,,255,2.59
09/13/2019,NATIONAL,VEGETABLES,PUMPKINS,,,,each,"1,075",5.47,,,,"2,894",3.89
09/13/2019,NATIONAL,VEGETABLES,PUMPKINS,,,,per pound,2,0.39,,,,8,0.79
09/13/2019,NATIONAL,VEGETABLES,PUMPKINS,MINIATURE,,,each,320,0.85,,,,242,0.8
09/13/2019,NATIONAL,VEGETABLES,PUMPKINS,MINIATURE,,,per pound,72,1.69,,,,72,1.69
09/13/2019,NATIONAL,VEGETABLES,PUMPKINS,PIE TYPE,,,each,242,2.5,,,,"1,607",1.96
09/13/2019,NORTHEAST U.S.,VEGETABLES,PUMPKINS,,,,each,63,5.99,5.99,5.99,,81,5
09/13/2019,NORTHEAST U.S.,VEGETABLES,PUMPKINS,,,,per pound,2,0.39,0.39,0.39,,,
09/13/2019,NORTHEAST U.S.,VEGETABLES,PUMPKINS,MINIATURE,,,each,22,0.8,0.8,0.8,,22,0.8
09/13/2019,NORTHEAST U.S.,VEGETABLES,PUMPKINS,MINIATURE,,,per pound,72,1.69,1.69,1.69,,72,1.69
09/13/2019,NORTHEAST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,,,each,22,2.5,2.5,2.5,,46,2.5
09/13/2019,SOUTHEAST U.S.,VEGETABLES,PUMPKINS,,,,each,78,5,5,5,,627,2.65
09/13/2019,SOUTHEAST U.S.,VEGETABLES,PUMPKINS,MINIATURE,,,each,298,0.85,0.8,1,,220,0.8
09/13/2019,SOUTHEAST U.S.,VEGETABLES,PUMPKINS,PIE TYPE,,,each,220,2.5,2.5,2.5,,693,1.96
09/13/2019,MIDWEST U.S.,VEGETABLES,PUMPKINS,,,,each,39,5.2,3.99,6.99,69,922,4.07
09/13/2019,SOUTH CENTRAL U.S.,VEGETABLES,PUMPKINS,,,,each,285,4.07,4,4.99,,303,4.36
09/13/2019,SOUTHWEST U.S.,VEGETABLES,PUMPKINS,,,,each,608,6.15,2.99,6.99,,542,4
09/13/2019,NORTHWEST U.S.,VEGETABLES,PUMPKINS,,,,each,2,5,5,5,,408,4.51
09/20/2019,NATIONAL,VEGETABLES,PUMPKINS,,,,each,955,4.65,,,,743,4.39
09/20/2019,NATIONAL,VEGETABLES,PUMPKINS,,,,per pound,164,0.29,,,,330,0.64
09/20/2019,NATIONAL,VEGETABLES,PUMPKINS,MINIATURE,,,each,376,0.96,,,,255,0.78
09/20/2019,NATIONAL,VEGETABLES,PUMPKINS,MINIATURE,,,per pound,72,1.69,,,,152,1.48
